ID,D1A,WalkIndex,GRNDTOT,P1TOT,P1VLNT,DRUGTOT,DRGSALE,MJSALE,DRGPOSS,DUI,LOGRECNO,GEOID,ADI_edu_l,ADI_edu_h,ADI_work_c,ADI_income,ADI_in_dis,ADI_home_v,ADI_rent,ADI_mortg,ADI_home_o,ADI_crowd,ADI_unemp,ADI_pov,ADI_b138,ADI_sp,ADI_ncar,ADI_ntel,ADI_nplumb,ADI_wSUM,ADI_perc,PopDensity,NO2,PM25,proxRd
S01,0.00171348598391,10.167,107316,20050,8847.66666666667,18660,2695.66666666667,821,15970.3333333333,16475,8497,14000US06073008305,0.87719298245614,97.5033738191633,99.3396918561996,32366,3.38075557249698,459400,1069,1919,6.56495607951919,2.52707581227437,15.4466501240695,27.891156462585,35.460009246417,19.047619047619,5.53549939831528,3.73044524669073,0,81.7127839119634,14,4992.787109375,3.01999998092651,6.59999990463257,362.532375017901
S02,1.81838932632,11.667,107316,20050,8847.66666666667,18660,2695.66666666667,821,15970.3333333333,16475,8776,14000US06073017020,0.462071621101271,98.2672314208702,95.2550415183867,124464,1.86922973090405,726100,1825,2829,92.0987654320988,0,5.70469798657718,4.04234841193455,9.0531561461794,14.2444658325313,0.606980273141123,0.910470409711684,0,43.9387285194661,3,745.244201660156,1.45000004768372,5.69999980926514,362.532375017901
S03,2.10980753015,8.667,107316,20050,8847.66666666667,18660,2695.66666666667,821,15970.3333333333,16475,8510,14000US06073008333,0.718641114982578,98.4429442508711,98.9429804972458,155192,1.94946030305029,934500,2001,4001,68.6232730771874,3.53378797272164,4.80442176870748,7.1618743343983,8.33623027184871,14.7497337593184,0,3.61644967968589,0,19.9695836516182,2,1479.49096679688,2.88000011444092,5.90000009536743,362.532375017901
